start_time_str,start_time_dt,day,preferred,class_name,category,priority,period_limit,comment,location,home_dis,loc_close
10:01,1900-01-01 10:00:00,1,False,胸背塑形,up_body,2,False,,绚荟城,1.4,
10:2,1900-01-01 10:00:00,1,False,胸背塑形,up_body,2,False,,绚荟城,1.4,
10:20,1900-01-01 10:30:00,1,False,某个新课,ballet,1,False,,绚荟城,1.4,
10:20,1900-01-01 10:30:00,1,False,胸背塑形,up_body,2,False,,绚荟城,1.4,
11:30,1900-01-01 11:30:00,1,True,胸背塑形,up_body,2,False,,中庚漫游城,2.5,
12:25,1900-01-01 12:30:00,1,True,燃脂搏击,fat,2,False,,中庚漫游城,2.5,
11:55,1900-01-01 12:00:00,2,False,燃脂尊巴,zumba,2,False,,绚荟城,1.4,
12:25,1900-01-01 12:30:00,2,False,脂肪燃烧,fat,2,False,,莘庄凯德广场,2.8,
18:20,1900-01-01 18:30:00,2,False,哈达瑜伽,yoga,2,True,,外环路,2.0,
19:00,1900-01-01 19:00:00,2,False,哈达瑜伽,yoga,2,True,,绚荟城,1.4,
2:30,1900-01-01 02:30:00,3,False,舞蹈形体,dance,1,False,,巴黎春天,12.5,陕西南路
12:00,1900-01-01 12:00:00,3,False,胸背塑形,up_body,2,False,,外环路,2.0,
12:25,1900-01-01 12:30:00,3,False,腰腹塑形,mid_body,2,True,,莘庄凯德广场,2.8,
12:25,1900-01-01 12:30:00,3,False,翘臀美腿,low_body,2,True,,力波九坊,2.4,
19:00,1900-01-01 19:00:00,3,False,脂肪燃烧,fat,2,False,,绚荟城,1.4,
19:15,1900-01-01 19:00:00,3,False,肌肉塑造,muscle,2,False,,中庚漫游城,2.5,
19:00,1900-01-01 19:00:00,3,False,肌肉塑造,muscle,2,False,,莘庄凯德广场,2.8,
10:00,1900-01-01 10:00:00,4,False,肌肉塑造,muscle,2,False,,梅陇商业中心店,3.2,
11:00,1900-01-01 11:00:00,4,False,芭气塑形,ballet,1,False,,龙盛国际商业广场,3.2,
12:00,1900-01-01 12:00:00,4,False,肌肉塑造,muscle,2,False,,绿地外滩精品馆,,外滩
13:00,1900-01-01 13:00:00,4,False,芭气塑形,ballet,1,False,,绿地外滩精品馆,,外滩
13:30,1900-01-01 13:30:00,4,False,燃脂尊巴,zumba,2,False,,莘庄凯德广场,2.8,
14:25,1900-01-01 14:30:00,4,False,lelepop,dance,2,False,,莘庄凯德广场,2.8,
9:10,1900-01-01 09:00:00,5,False,舞蹈形体,dance,1,False,,徐汇亚太,11.1,嘉善路
10:05,1900-01-01 10:00:00,5,False,古典舞,dance,1,False,,徐汇亚太,11.1,嘉善路
10:30,1900-01-01 10:30:00,5,True,胸背塑形,up_body,2,False,,中庚漫游城,2.5,
19:00,1900-01-01 19:00:00,5,False,杠铃雕塑,muscle,2,False,,梅陇罗秀路,1.9,
1:30,1900-01-01 01:30:00,7,False,胸背塑形,up_body,2,False,,绚荟城,1.4,
2:30,1900-01-01 02:30:00,7,False,胸背塑形,up_body,2,False,,绚荟城,1.4,
